Date,Open,High,Low,Close,Adj Close,Volume
2012-12-01,44.470001,44.939999,42.490002,43.270000,34.507366,239689900
2013-01-01,44.490002,44.869999,41.500000,43.610001,34.778507,327961200
2013-02-01,44.200001,46.930000,44.020000,46.529999,37.539783,257168000
2013-03-01,46.220001,49.590000,46.110001,49.150002,39.653564,250889500
2013-04-01,49.060001,54.310001,48.660000,53.910000,43.493870,333570400
2013-05-01,53.770000,53.970001,48.470001,48.480000,39.523739,234175000
2013-06-01,48.430000,51.689999,47.770000,50.340000,41.040108,297020400
2013-07-01,50.290001,51.939999,49.189999,49.480000,40.338982,203977200
2013-08-01,50.049999,50.439999,46.250000,47.380001,39.018650,203962300
2013-09-01,45.520000,48.889999,45.080002,46.669998,38.433949,322803500
2013-10-01,46.619999,51.490002,46.029999,50.509998,41.596283,386139000
2013-11-01,50.790001,51.459999,49.360001,49.619999,41.326515,182788700
2013-12-01,49.660000,49.790001,47.450001,49.139999,40.926743,236601200
2014-01-01,49.080002,49.400002,46.580002,48.020000,39.993942,379177400
2014-02-01,48.020000,48.340000,45.450001,47.580002,40.058125,1452306200
2014-03-01,47.299999,48.389999,45.830002,47.570000,40.049709,728108800
2014-04-01,47.540001,48.459999,45.849998,46.730000,39.342503,516078100
2014-05-01,46.630001,50.009998,46.599998,49.959999,42.530308,330389300
2014-06-01,50.020000,50.330002,48.750000,48.930000,41.653484,261278100
2014-07-01,48.880001,53.660000,48.540001,50.419998,42.921902,316714100
2014-08-01,50.520000,50.520000,48.200001,49.820000,42.867817,262979800
2014-09-01,49.820000,50.380001,48.259998,49.990002,43.014088,273455600
2014-10-01,49.730000,50.500000,46.889999,50.250000,43.237804,369933200
2014-11-01,50.490002,51.730000,48.860001,50.590000,44.017666,238980300
2014-12-01,50.680000,50.840000,45.090000,46.779999,40.702644,419728200
2015-01-01,47.000000,48.480000,45.369999,45.709999,39.771648,373433700
2015-02-01,46.200001,49.990002,45.759998,49.450001,43.534794,346249200
2015-03-01,49.119999,49.900002,47.360001,48.630001,42.812885,326633600
2015-04-01,48.450001,50.650002,48.430000,50.439999,44.406361,324058900
2015-05-01,50.750000,50.860001,48.970001,49.439999,44.017342,278846100
2015-06-01,49.439999,49.540001,46.599998,46.610001,41.497753,350899700
2015-07-01,46.639999,48.259998,45.660000,46.790001,41.658009,325825200
2015-08-01,47.180000,48.209999,38.060001,46.009998,41.445999,327754100
2015-09-01,45.090000,46.549999,43.279999,43.509998,39.193989,332075900
2015-10-01,43.490002,46.980000,42.200001,46.880001,42.229694,314149700
2015-11-01,47.020000,47.080002,44.180000,45.450001,41.473377,219241000
2015-12-01,45.509998,47.230000,44.330002,46.220001,42.176010,293399200
2016-01-01,45.669998,49.990002,43.790001,49.970001,45.597900,416388400
2016-02-01,49.939999,51.380001,49.270000,50.730000,46.860786,378365500
2016-03-01,50.990002,54.369999,50.980000,54.080002,49.955284,298145400
2016-04-01,53.320000,54.490002,49.470001,50.939999,47.054771,312712100
2016-05-01,51.220001,51.700001,49.049999,50.900002,47.514137,230042900
2016-06-01,50.869999,55.919998,50.119999,55.840000,52.125526,330361700
2016-07-01,55.849998,56.950001,54.439999,55.410000,51.724129,271341000
2016-08-01,55.580002,55.820000,51.900002,52.330002,49.342171,251398800
2016-09-01,52.139999,53.880001,51.020000,51.980000,49.012154,280445000
2016-10-01,51.840000,52.139999,47.580002,48.099998,45.353683,297038300
2016-11-01,48.320000,51.200001,46.009998,49.900002,47.587502,335959500
2016-12-01,49.799999,53.900002,49.310001,53.380001,50.906227,254549200
2017-01-01,53.959999,54.830002,48.509998,49.009998,46.738747,361064800
2017-02-01,49.340000,50.950001,47.799999,49.630001,47.836040,323229300
2017-03-01,49.560001,50.630001,48.669998,48.750000,46.987846,287990200
2017-04-01,48.730000,49.549999,45.889999,45.910000,44.250507,353178000
2017-05-01,46.060001,46.950001,44.459999,46.639999,45.490501,329434100
2017-06-01,46.709999,47.500000,44.360001,44.660000,43.559299,304833900
2017-07-01,44.610001,48.570000,42.799999,48.400002,47.207127,324789200
2017-08-01,48.680000,49.630001,47.509998,47.970001,47.401340,291184700
2017-09-01,48.020000,50.320000,45.709999,49.490002,48.903320,302316600
2017-10-01,49.389999,51.180000,47.419998,47.869999,47.302521,329044000
2017-11-01,48.150002,48.169998,47.180000,47.419998,47.419998,32209700
2017-11-03,47.660000,47.740002,47.235001,47.419998,47.419998,8038202
