Date,Open,High,Low,Close,Adj Close,Volume
2012-11-01,null,null,null,null,null,null
2012-12-01,56.020000,61.650002,55.330002,60.919998,55.771667,43135200
2013-01-01,61.080002,66.410004,58.750000,64.820000,59.649540,52617200
2013-02-01,65.040001,66.620003,60.410000,62.180000,57.220139,42983900
2013-03-01,61.980000,66.330002,61.520000,66.230003,60.947063,33965700
2013-04-01,66.290001,74.430000,65.820000,72.919998,67.509995,48029400
2013-05-01,72.500000,79.599998,72.050003,76.970001,71.259514,37578800
2013-06-01,77.070000,82.330002,75.019997,81.839996,75.768204,40774700
2013-07-01,82.000000,90.000000,80.750000,85.559998,79.606674,45760900
2013-08-01,86.029999,88.720001,84.150002,85.139999,79.215912,35144800
2013-09-01,85.620003,89.930000,81.459999,83.610001,77.792366,43030800
2013-10-01,83.800003,89.870003,83.129997,84.800003,79.237724,50128300
2013-11-01,85.150002,94.330002,84.459999,92.879997,86.787727,46165400
2013-12-01,92.900002,94.360001,86.879997,92.389999,86.329872,39568000
2014-01-01,92.000000,93.089996,81.839996,86.000000,80.689377,59872200
2014-02-01,86.000000,91.959999,83.989998,90.589996,84.995949,51799400
2014-03-01,89.870003,102.559998,89.029999,99.550003,93.402664,71348800
2014-04-01,98.500000,101.949997,90.750000,100.680000,94.916939,62970500
2014-05-01,100.680000,110.029999,99.910004,108.360001,102.157333,40380900
2014-06-01,108.559998,109.500000,104.790001,107.610001,101.450249,33957500
2014-07-01,108.269997,116.500000,106.879997,109.809998,103.948799,47281200
2014-08-01,109.650002,117.360001,106.519997,116.510002,110.291168,31411300
2014-09-01,116.459999,124.580002,114.629997,119.620003,113.235184,36978300
2014-10-01,119.269997,126.690002,108.919998,126.690002,120.370956,48689800
2014-11-01,126.610001,129.960007,123.410004,127.910004,121.530121,26047000
2014-12-01,128.250000,129.960007,121.220001,125.669998,119.401840,24911900
2015-01-01,126.650002,143.649994,122.860001,134.960007,128.666321,41210200
2015-02-01,134.960007,148.759995,132.940002,146.449997,139.620499,31961000
2015-03-01,146.449997,160.639999,144.199997,154.410004,147.209305,38627700
2015-04-01,154.080002,157.559998,148.289993,150.929993,144.506607,28839800
2015-05-01,151.919998,170.979996,151.490005,167.850006,160.706528,42048500
2015-06-01,168.970001,173.589996,159.649994,164.139999,157.154419,44634100
2015-07-01,165.619995,165.929993,148.779999,154.270004,148.273651,48402500
2015-08-01,154.279999,155.949997,136.039993,141.050003,135.567505,43949200
2015-09-01,138.490005,152.440002,134.619995,140.000000,134.558289,45486200
2015-10-01,140.309998,149.869995,134.740005,139.149994,134.332367,53131400
2015-11-01,139.000000,140.520004,126.250000,130.380005,125.866020,41012000
2015-12-01,131.110001,142.490005,129.039993,139.440002,134.612350,38994700
2016-01-01,137.660004,141.949997,126.419998,130.490005,126.554558,41921100
2016-02-01,131.619995,133.880005,115.629997,130.690002,126.748543,34425400
2016-03-01,131.869995,144.690002,130.250000,138.990005,134.798218,32074600
2016-04-01,138.539993,148.000000,137.830002,140.770004,137.194031,34125100
2016-05-01,141.679993,142.330002,128.389999,132.160004,128.802734,39642700
2016-06-01,132.160004,134.729996,122.910004,131.339996,128.003555,44164000
2016-07-01,131.250000,143.179993,128.550003,131.339996,128.632645,38083300
2016-08-01,131.460007,131.679993,124.000000,125.080002,122.501694,37727600
2016-09-01,124.900002,129.619995,122.519997,125.309998,122.726952,32897600
2016-10-01,124.739998,125.570000,117.500000,121.860001,119.975502,32742200
2016-11-01,122.440002,146.089996,114.849998,142.529999,140.325836,47217600
2016-12-01,142.380005,148.259995,141.820007,145.880005,143.624054,25933700
2017-01-01,144.539993,154.970001,140.500000,154.139999,152.451538,32960600
2017-02-01,155.000000,165.880005,154.369995,164.820007,163.014572,39589300
2017-03-01,166.169998,170.789993,158.669998,165.380005,163.568436,36215200
2017-04-01,165.380005,184.449997,163.869995,177.889999,176.632996,26976200
2017-05-01,178.500000,185.000000,174.960007,182.350006,181.061478,31317000
2017-06-01,182.789993,194.940002,182.690002,188.130005,186.800644,36678800
2017-07-01,189.210007,194.380005,179.559998,186.210007,185.536896,26219000
2017-08-01,187.000000,196.479996,186.020004,196.039993,195.331345,27993900
2017-09-01,196.039993,198.979996,179.399994,189.880005,189.193634,38394400
2017-10-01,191.210007,212.070007,182.309998,209.210007,209.210007,38007000
2017-11-01,210.029999,213.449997,208.399994,211.800003,211.800003,4066200
2017-11-03,210.660004,213.449997,209.250000,211.800003,211.800003,1177204
